FULLNAME;TICKER
FACHOWCY.xlsx;fav_y.xlsx
FAM.xlsx;fam_y.xlsx
FAMUR.xlsx;fmf_y.xlsx
FARM51.xlsx;f51_y.xlsx
FARMACOL.xlsx;fcl_y.xlsx
FASING.xlsx;fsg_y.xlsx
FASTFINA.xlsx;ffi_y.xlsx
FEERUM.xlsx;fee_y.xlsx
FENGHUA.xlsx;fgt_y.xlsx
FERRO.xlsx;fro_y.xlsx
FERRUM.xlsx;fer_y.xlsx
FHDOM.xlsx;fhd_y.xlsx
FINARCH.xlsx;far_y.xlsx
FINHOUSE.xlsx;fin_y.xlsx
FITEN.xlsx;ftn_y.xlsx
FKDSA.xlsx;fkd_y.xlsx
FLUID.xlsx;fld_y.xlsx
FLYPL.xlsx;fly_y.xlsx
FON.xlsx;fon_y.xlsx
FORENGRO.xlsx;feg_y.xlsx
FORENTER.xlsx;for_y.xlsx
FORMULA.xlsx;8fo_y.xlsx
FORPOST.xlsx;fpo_y.xlsx
FORTE.xlsx;fte_y.xlsx
FOTA.xlsx;fot_y.xlsx
FUTURIS.xlsx;fut_y.xlsx
GALVO.xlsx;gal_y.xlsx
GANT.xlsx;gnt_y.xlsx
GCINVEST.xlsx;gci_y.xlsx
GEKOPLAS.xlsx;gkp_y.xlsx
GENERGY.xlsx;gng_y.xlsx
GENESIS.xlsx;gnr_y.xlsx
GENOMED.xlsx;gen_y.xlsx
GEOINV.xlsx;geo_y.xlsx
GEOTERM.xlsx;gtp_y.xlsx
GEOTRANS.xlsx;gts_y.xlsx
GETBANK.xlsx;gnb_y.xlsx
GETIN.xlsx;gtn_y.xlsx
GINOROSS.xlsx;gri_y.xlsx
GKSKATOW.xlsx;gks_y.xlsx
GLGPHARM.xlsx;glg_y.xlsx
GLOBAL.xlsx;gtr_y.xlsx
GLOBCITY.xlsx;gch_y.xlsx
GLOBCOSM.xlsx;glc_y.xlsx
GOLAB.xlsx;gol_y.xlsx
GONTYNIE.xlsx;bro_y.xlsx
GOODIDEA.xlsx;gdi_y.xlsx
GORENJE.xlsx;grv_y.xlsx
GOTFI.xlsx;gtf_y.xlsx
GPFCAUSA.xlsx;ecr_y.xlsx
GPPI.xlsx;gpp_y.xlsx
GPW.xlsx;gpw_y.xlsx
GRAAL.xlsx;grl_y.xlsx
GRAJEWO.xlsx;grj_y.xlsx
GRAPHIC.xlsx;grp_y.xlsx
GRAVITON.xlsx;grt_y.xlsx
GREEN.xlsx;gre_y.xlsx
GREENECO.xlsx;get_y.xlsx
GREMIMED.xlsx;gmm_y.xlsx
GREMP.xlsx;grm_y.xlsx
GROCLIN.xlsx;gcn_y.xlsx
GRODNO.xlsx;grn_y.xlsx
GRUPAHRC.xlsx;hrc_y.xlsx
GTC.xlsx;gtc_y.xlsx
GWARANT.xlsx;gwr_y.xlsx
HANDLOWY.xlsx;bhw_y.xlsx
HARPER.xlsx;hrp_y.xlsx
HAWE.xlsx;hwe_y.xlsx
HEFAL.xlsx;hef_y.xlsx
HELIO.xlsx;hel_y.xlsx
HERKULES.xlsx;hrs_y.xlsx
HETAN.xlsx;htn_y.xlsx
HFTGROUP.xlsx;hft_y.xlsx
HMINWEST.xlsx;hmi_y.xlsx
HOLLYWOO.xlsx;hld_y.xlsx
HORTICO.xlsx;hor_y.xlsx
HOTBLOK.xlsx;hot_y.xlsx
HUBSTYLE.xlsx;hub_y.xlsx
HURTIMEX.xlsx;hrt_y.xlsx
HUTMEN.xlsx;htm_y.xlsx
HYDRAPRE.xlsx;hps_y.xlsx
HYDROTOR.xlsx;hdr_y.xlsx
HYGIENIK.xlsx;krs_y.xlsx
HYPERION.xlsx;hyp_y.xlsx
I3D.xlsx;i3d_y.xlsx
IAI.xlsx;iai_y.xlsx
IBCPOLSK.xlsx;ibc_y.xlsx
IBSM.xlsx;ibs_y.xlsx
ICPGROUP.xlsx;icp_y.xlsx
IDEABANK.xlsx;ida_y.xlsx
IDEON.xlsx;ide_y.xlsx
IDH.xlsx;idh_y.xlsx
IDM.xlsx;idm_y.xlsx
IFSA.xlsx;ifr_y.xlsx
IGORIA.xlsx;igt_y.xlsx
